fecha_publicacion,titulo
10 de Diciembre de 2020,Back 4 Blood - Trailer cinemático
11 de Noviembre de 2020,Los primeros 22 minutos de Spider-Man: Miles Morales en PS5 - Gameplay en 4K
10 de Diciembre de 2020,Forza Horizon 4 x Cyberpunk 2077 - Trailer de anuncio de DLC
,¡Bienvenidos a IGN Latinoamérica!
4 de Noviembre de 2020,Marvel's Spider-Man: Comparación PS4 2018 vs. Remasterización para PS5 2020
6 de Noviembre de 2020,PlayStation 5 vs. PlayStation 4 Pro: comparando los tiempos de carga
,"Xbox Series X/S, Xbox One, PS4, PS5, Switch y PC: estos son los juegos sin costo que podrás conseguir del 11 al 13 de diciembre"
,Resident Evil Village podría no lanzarse en PS4 y Xbox One
,Cyberpunk 2077 desapareció de la PS Store: ¿qué está pasando?
,"Xbox Series X/S, Xbox One, PS4, PS5, Switch y PC: estos son los juegos sin costo que podrás conseguir del 18 al 20 de diciembre"
,Netflix: estos son los animes que se estrenarán en diciembre de 2020
,"PlayStation Plus: estos son los juegos gratis de noviembre de 2020, y ya se incluye uno de PS5"
,PlayStation 5 no sería compatible con la resolución nativa de 1440p
,PlayStation 4: ¿cuánto tardan los robots de Sony en fabricar la consola? La respuesta te sorprenderá
16 de Septiembre de 2020,God of War: Ragnarok - Teaser Tráiler
,MLB The Show 20 - Review
10 de Diciembre de 2020,Super Meat Boy Forever - Trailer
,The Last of Us 2: este es el espacio que ocupará en el disco duro de PS4
7 de Septiembre de 2018,Review Marvel's Spider-Man
18 de Junio de 2018,Creando el McLaren Senna en Forza Horizon 4 - IGN First
,"Euforia, nervios y diversión se viven en el IGN Tournament"
11 de Junio de 2020,Trailer de gameplay de Deathloop | PS5
,"PlayStation 4, Xbox One, PC, Nintendo Switch: estos son los títulos gratis que puedes jugar en Navidad"
,Resident Evil 8: Capcom revelaría más detalles en agosto
,"Cyberpunk 2077: alguien logró correrlo en Nintendo Switch, y va mejor que en PS4 y Xbox One"
,Netflix enero 2021: estos son los animes que estarán disponibles
,PlayStation Plus: estos son los juegos gratis de julio 2020
,PlayStation 5: ¿cómo se compara su precio de lanzamiento con en de las anteriores consolas?
,"Death Stranding, Days Gone, Diablo: PlayStation Store tiene venta especial de Halloween"
13 de Diciembre de 2019,Godfall - Tráiler de presentación
,PlayStation 5: Sony confirmó que sí puedes usar los discos de PS4
1 de Septiembre de 2014,8 Minutes of Super Meat Boy Forever - PAX Prime
,The Last of Us 2: el Playstation Pro tendrá una edición especial
,The Last of Us 2: el Playstation Pro tendrá una edición especial
